Country,CountryName,FDI,ELECTRICITY,RENEWABLE_ENERGY,CO2,CPI,CELL_PHONES,INTERNET,EXPORTS,IMPORTS,GDP,FEMALE_MORTALITY,MALE_MORTALITY,BIRTH,DEATH,INFANT_MORTALITY,LIFE_EXP,FERTILITY,POPULATION,URBAN_POP
POL,Poland,3.838225854,100,9.488623858,8.313376825,2.707452359,122.5155089,62.32,40.0551305,42.05319595,12597.86239,71.01,187.605,10.9,9.9,5.2,76.24634146,1.41,-0.285609122,60.892
PRI,Puerto Rico,3.032455396,100,0.573634039,2.761716874,3.859509098,78.94082185,45.3,62.67168665,41.48157554,26435.74019,60.557,156.806,11.3,7.833,19.1,78.40817073,1.6235,-0.506170057,93.825
PRT,Portugal,3.54832691,100,27.82797757,4.552752646,1.402572899,114.6264462,53.3,29.87325191,37.43159749,22538.65408,50.998,121.289,9.6,10,3.1,79.02682927,1.39,0.045910037,60.567
PRY,Paraguay,2.773486544,97.43086,64.249376,0.820810138,4.651162791,95.34581764,19.8,55.09823825,51.48664094,3225.591754,131.067,171.761,22.422,5.581,20.4,72.285,2.73,1.329925612,58.487
PSE,West Bank and Gaza,2.013978512,99.9,14.06476868,0.534014834,3.749157276,64.01995265,37.4,15.34034174,59.06250351,2344.362901,104.32,146.612,33.446,3.601,19.5,72.444,4.419,2.898628666,74.136
QAT,Qatar,3.73261156,100,0,40.74201765,-2.425256752,122.8564638,69,62.3196826,23.75060735,70306.22784,49.979,69.247,11.486,1.534,7.7,77.301,2.07,11.22068633,98.655
ROU,Romania,1.912960935,100,24.09570704,3.922213561,6.094215787,119.176059,39.93,32.30179903,38.44277312,8297.483621,87.043,203.062,10.5,12.8,9.7,73.45853659,1.59,-0.593959184,53.829
RUS,Russian Federation,2.830829818,100,3.342748397,11.69434812,6.852353956,166.037583,43,29.21558677,21.13996351,10674.98771,136.517,365.664,12.5,14.2,8.6,68.84121951,1.567,0.04488739,73.687
RWA,Rwanda,4.338493947,9.7,90.65552908,0.057616483,2.309146191,34.6327288,8,12.02851203,29.99703,563.4910487,221.926,271.344,35.314,7.654,43.9,63.14,4.515,2.66424148,23.952
SAS,South Asia,1.545553136,75.11751924,41.5887595,1.207519099,7.581529777,58.6801037,7.205783791,21.13072451,26.3052066,1252.227962,153.9820537,215.3078784,22.59714446,7.360384428,49,66.8267569,2.744213453,1.439535031,30.98270795
SAU,Saudi Arabia,5.534325671,100,0.006254908,18.9053425,5.343137255,188.0149645,41,49.56979004,32.98003763,19259.58726,84.85,104.216,22.018,3.572,13.5,73.574,2.96,2.825937772,82.084
SDN,Sudan,3.144296497,35.47529984,61.44174976,0.345245386,13.24539414,52.61807267,16.7,19.74349819,17.23211117,1476.478087,210.42,270.074,35.47,8.205,51.3,62.62,4.876,2.161697761,33.08
SEN,Senegal,2.09923268,54.15758896,50.26046684,0.599610304,1.228681197,64.59870756,8,24.87802754,40.26636355,1002.52994,182,241.8,38.243,7.321,42.9,64.177,5.063,2.869085205,42.23
SGP,Singapore,23.29559647,100,0.475165157,10.96040878,2.8,145.5308093,71,199.7474571,173.6970745,46569.67951,43.006,74.486,9.3,4.4,2.2,81.54146341,1.15,1.771832879,100
SLB,Solomon Islands,24.70585458,32.03585815,63.48961794,0.375183312,1.051481633,21.88370375,5,50.03731536,82.3129062,1272.448025,149.863,188.201,32.47,5.477,23.6,68.572,4.235,2.243862278,20.048
SLE,Sierra Leone,9.111181063,11.46217307,84.17509258,0.112416392,16.63522383,30.96588798,0.58,16.54730779,33.97410504,405.1284018,420.331,429.875,39.563,15.45,106.7,48.224,5.202,2.325427561,38.241
SLV,El Salvador,-0.5283357,91.580238,30.76614291,1.047522915,0.907806937,124.9116491,15.9,25.92433677,42.84395655,3474.392445,112.281,278.597,19.62,6.584,16.5,71.902,2.265,0.444647422,64.286
SRB,Serbia,4.29122045,99.718398,20.59508764,6.302577983,6.142553602,136.0150378,40.9,32.93254567,47.92145644,5411.877404,84.965,161.034,9.4,14.2,6.6,74.33658537,1.4,-0.402005901,55.208
SSD,South Sudan,3.435663654,1.5,51.76942764,0.833550528,1.169621803,14.89988469,5.971161397,61.43448276,29.50896552,1562.239346,342.323,370.229,38.336,12.76,71.5,53.655,5.376,4.018453648,17.855
STP,Sao Tome and Principe,25.62621491,59.92104721,43.75954955,0.566490823,13.34005235,58.7780931,18.75,6.988944662,31.79245291,1129.754961,170.985,224.989,36.671,7.359,33.4,65.875,4.788,2.293576315,61.907
SUR,Suriname,-5.670270825,91.19751586,24.54433933,4.565427302,6.944787295,99.0615906,31.59,52.54731927,38.41407488,8303.31332,128.278,231.019,19.613,7.111,21.4,70.335,2.52,1.047852281,66.344
SVK,Slovak Republic,2.365847361,100,10.27973566,6.721959562,0.957018133,109.6352641,75.71,76.33525779,77.78780202,16600.61359,68.807,175.133,11.2,9.9,5.8,75.11219512,1.43,0.093191273,54.685
SVN,Slovenia,0.664509447,100,19.50475385,7.485854369,1.840965347,103.7543126,70,64.28811476,62.85321541,23437.47202,51.815,120.57,10.9,9.1,2.6,79.42195122,1.57,0.436079485,50.04
SWE,Sweden,0.127995639,100,45.97780593,5.547348052,1.157988027,117.0629429,90,46.18519236,40.71765463,52076.25591,43.111,71.854,12.3,9.6,2.5,81.45121951,1.98,0.852524629,85.056
SWZ,Swaziland,3.056255589,45.55233761,62.68198971,0.862756819,4.509236918,60.3405432,11.04,46.47111338,59.57814327,3690.239228,440.212,575.398,31.305,12.588,65.1,51.598,3.527,1.860161258,21.492
SYC,Seychelles,16.47482808,97,0.625464048,4.942709146,-2.404638751,128.6439473,41,93.79878086,108.0818232,10804.68447,96.094,247.861,16.8,7.4,12.4,73.19756098,2.17,2.792329069,52.319
SYR,Syrian Arab Republic,3.435663654,92.7,1.410584971,2.930971337,4.397413832,55.64533218,20.7,35.56268252,35.62297426,1466.468021,84.892,233.46,25.963,4.457,14,72.108,3.21,0.926984295,55.677
TCD,Chad,2.936842259,6.4,90.78835503,0.043496106,-2.077865746,24.18823202,1.7,36.8456059,43.54510339,896.5697341,363.194,401.149,46.68,15.131,85,50.233,6.592,3.287309231,21.983
TGO,Togo,3.937735235,30.79174368,65.82542063,0.40600638,1.834169331,40.01694923,3,40.16387027,57.30900097,487.9238913,284.195,316.599,37.201,10.165,59,57.465,4.868,2.688142871,37.533
THA,Thailand,4.3232062,99.7,22.65487764,4.19478194,3.247588424,106.7215773,22.4,66.48613625,60.76431575,5075.302176,104.838,215.513,11.806,7.284,12.8,73.923,1.547,0.487642631,44.08
TJK,Tajikistan,1.407467149,99.46128082,61.8343249,0.33303078,6.419565094,77.74312549,11.55,15.34433705,52.6103452,738.3475227,113.604,173.818,30.079,5.485,44.5,69.644,3.507,2.233862708,26.516
TKM,Turkmenistan,16.08411019,100,0.072192893,11.26148537,6.281059348,62.85614315,3,76.31547077,44.47504242,4439.203,140.792,260.71,25.405,7.214,51.8,66.657,2.833,1.570289696,48.402
TLS,Timor-Leste,3.391413995,38,34.68922929,0.211508565,6.765976802,42.63012227,3,9.87254025,124.0831843,806.0627745,146.054,182.219,38.202,5.988,52.3,67.313,6.234,1.596137105,29.507
TON,Tonga,2.431059942,92.26165009,1.00787071,1.126823319,3.534912023,52.14285028,16,12.41293316,60.25269649,3548.068399,108.525,175.891,27.084,6.147,14.9,72.173,3.913,0.513140083,23.389
TTO,Trinidad and Tobago,2.47947143,99.29836273,0.334349645,36.09293276,10.54738949,142.6278142,48.5,54.66725713,31.09555221,16683.94578,129.524,224.726,15.201,9.049,19.9,69.756,1.806,0.489260588,9.092
TUN,Tunisia,3.029442784,99.5,12.68783984,2.59965793,4.416268965,104.4575007,36.8,49.4973396,54.6517695,4140.15177,74.428,122.281,18.243,6.239,14.9,74.793,2.144,1.116147221,65.934
TUR,Turkey,1.178815078,100,14.32649611,4.120214807,8.566444206,85.40338801,39.82,20.44880782,25.4504091,10672.05482,78.574,153.723,17.956,5.849,16.4,74.154,2.155,1.375055869,70.715
TZA,Tanzania,5.77306825,14.8,90.3162285,0.154161892,6.200155956,45.51951056,2.9,18.74641327,29.12998381,701.6045501,284.385,348.677,41.112,8.633,47.6,60.893,5.427,3.16094056,28.114
UGA,Uganda,2.694240313,14.76937103,91.60617339,0.1155833,3.976552885,37.82460178,12.5,17.13179695,28.5880247,595.2061732,317.72,392.725,45.179,10.125,52.7,57.153,6.154,3.429002764,14.492
UKR,Ukraine,4.742923548,99.94507599,2.882713434,6.641349685,9.378589479,117.7678197,23.3,47.05340086,51.08667656,2965.142365,118.277,309.241,10.8,15.2,10.1,70.26536585,1.443,-0.397285236,68.686
URY,Uruguay,5.43898761,98.98948669,52.8186125,1.893043387,6.676386868,131.4941405,46.4,26.34299454,25.35604265,11938.212,80.445,142.963,14.757,9.248,9.1,76.588,2.078,0.346139748,94.414
USA,United States,1.733076403,100,7.505172055,17.44161513,1.640043442,92.37840689,71.69,12.37830094,15.80415135,48373.87882,77.137,131.851,13,7.995,6.2,78.54146341,1.931,0.836421536,80.772
UZB,Uzbekistan,4.160522695,99.98669434,2.64349718,3.647048882,6.281059348,73.24262276,15.9,31.65988666,28.51337302,1377.08214,114.269,198.049,22.7,4.9,31.7,70.005,2.342,2.822849683,36.191
VCT,St. Vincent and the Grenadines,14.27105163,93.22228241,5.486490891,2.012715547,1.480573011,120.5607648,33.7,26.89052814,57.1289148,6231.770232,135.408,188.185,17.094,7.114,18.7,72.327,2.07,0.056732918,48.785
VEN,"Venezuela, RB",0.40260364,98.80784607,11.43601466,6.513376914,28.18746471,96.04554329,37.37,28.53040699,17.60648654,13545.20584,94.207,202.214,20.783,5.342,14.7,73.625,2.472,1.529865044,88.769
VIR,Virgin Islands (U.S.),1.733076403,100,0,17.44161513,1.640043442,92.37840689,31.22,298.3406315,284.9734962,40043.19017,52.152,84.51,14.8,6.6,6.2,77.96585366,2.3,-0.043365335,94.594
VNM,Vietnam,6.9006118,97.59113312,34.79589882,1.613359582,8.861600361,126.1071925,30.65,72.00235607,80.2150125,1310.370273,69.552,192.918,17.473,5.709,18.6,75.117,1.946,1.030588221,30.392
VUT,Vanuatu,9.005281512,36.89836502,38.37573943,0.512118327,2.809293259,71.91646036,8,46.62651667,52.7388385,2965.802434,119.247,169.616,27.486,4.89,24.4,70.721,3.498,2.359448324,24.589
WSM,Samoa,-0.205984923,96.60601044,46.75466992,1.004360785,0.777007269,48.33382562,7,29.217341,53.12181817,3453.434298,95.78,162.335,27.91,5.281,16.2,73.122,4.338,0.743337538,20.078
YEM,"Yemen, Rep.",0.610357927,63.13428116,0.963571052,0.992601744,11.17483386,46.95685083,12.35,29.99507756,34.39055922,1309.23196,212.045,258.094,34.548,7.088,43.8,63.508,4.674,2.713033863,31.732
ZAF,South Africa,0.984090081,82.9,17.07980233,9.190698716,4.257415985,97.64917918,24,28.61523693,27.37375583,7275.382112,388.943,509.854,22.51,12.997,37.3,55.888,2.588,1.197112674,62.218
ZMB,Zambia,8.53319779,22,92.10429746,0.194337299,8.501761334,39.32836117,10,37.02593917,30.87499061,1463.213573,344.897,420.842,40.361,10.144,53.6,56.588,5.397,2.883152266,38.725
ZWE,Zimbabwe,1.208719803,36.06305695,82.8795412,0.552146242,3.034478884,54.66297543,6.4,35.19329313,63.50190405,719.979517,484.444,533.732,36.02,11.838,58,52.975,4.028,1.976755984,33.196
